s_date,isin,rate
2022년 11월 18일, 대호특수강 (021040),1:10
, 대호특수강우 (021045),1:10
2022년 11월 16일, 메디콕스 (054180),2:01
, 티엘비 (356860),2:01
2022년 11월 11일, 메타랩스 (090370),1:05
2022년 11월 9일, 알체라 (347860),1.2:1
2022년 11월 4일, 에이팩트 (200470),1.5:1
2022년 11월 3일, ICH (368600),3:01
2022년 11월 1일, 유니드 (014830),1:1.31
2022년 10월 27일, 아이윈플러스 (123010),1:05
2022년 10월 25일, 알테오젠 (196170),1.2:1
2022년 10월 24일, 퓨쳐켐 (220100),1.3:1
2022년 10월 21일, ITX엠투엠 (099520),1:02
2022년 10월 14일, 코디엠 (224060),1:20
2022년 10월 7일, 한컴MDS (086960),2.5:1
2022년 9월 30일, 형지I&C (011080),1:03
2022년 9월 28일, 싸이토젠 (217330),3:01
, 좋은사람들 (033340),1:02
2022년 9월 21일, PSK (319660),2:01
2022년 9월 19일, MIT (038340),1:08
2022년 9월 15일, KG모빌리티 (003620),1:3.16
2022년 9월 14일, 도부마스크 (227420),2:01
2022년 9월 13일, 아이디피 (332370),2:01
2022년 9월 6일, 에브리봇 (270660),2:01
2022년 9월 2일, 크루셜텍 (114120),1:10
2022년 9월 1일, 아이윈플러스 (123010),1.3:1
, 파인테크닉스 (106240),1:1.54
, 폴라리스우노 (114630),4:01
2022년 8월 31일, KG모빌리티 (003620),1:10
2022년 8월 25일, 휴림네트웍스 (192410),2.5:1
2022년 8월 18일, 노바렉스 (194700),2:01
2022년 8월 17일, 엔지켐생명과학 (183490),6:01
2022년 8월 16일, 에스엘바이오닉스 (214310),5:01
2022년 8월 12일, CBI (013720),4:01
2022년 8월 10일, HSD엔진 (082740),1.2:1
, 지투파워 (388050),5:01
2022년 8월 8일, 신진에스엠 (138070),2:01
2022년 8월 5일, 이노시스 (056090),5:01
2022년 8월 2일, 아스플로 (159010),3:01
2022년 8월 1일, 테크윙 (089030),2:01
2022년 7월 27일, 비플라이소프트 (148780),5:01
2022년 7월 26일, P&K 스킨리서치 (347740),4:01
2022년 7월 25일, 셀리버리 (268600),2:01
2022년 7월 22일, 에어부산 (298690),1:03
, 코디엠 (224060),1:05
2022년 7월 19일, 라온피플 (300120),2:01
, 모아데이타 (288980),6:01
2022년 7월 18일, 수프로 (185190),2.5:1
2022년 7월 14일, 실리콘투 (257720),6:01
, 조광ILI (044060),6:01
2022년 7월 13일, 지니너스 (389030),3:01
, 휴스틸 (005010),5:01
2022년 7월 12일, 원준 (382840),3:01
, 유틸렉스 (263050),1.5:1
2022년 7월 5일, 케이옥션 (102370),3:01
2022년 7월 1일, 원포유 (122830),5:01
2022년 6월 30일, 포시에스 (189690),1.05:1
2022년 6월 29일, 공구우먼 (366030),6:01
2022년 6월 27일, 에코프로비엠 (247540),4:01
2022년 6월 24일, 메디콕스 (054180),1:10
, 카이노스메드 (284620),1:05
2022년 6월 22일, 인카금융서비스 (211050),2:01
, 코스모화학 (005420),1.12:1
2022년 6월 20일, 씨에스베어링 (297090),2:01
2022년 6월 17일, 유니트론텍 (142210),1.2:1
2022년 6월 13일, 에코캡 (128540),1.3:1
2022년 6월 8일, 바이젠셀 (308080),2:01
2022년 6월 7일, 카나리아바이오 (016790),5:01
2022년 6월 3일, 아이패밀리에스씨 (114840),2:01
2022년 6월 2일, 모트렉스 (118990),3:01
2022년 5월 31일, HLB BioStep (278650),9:01
2022년 5월 30일, 엔비티 (236810),2:01
2022년 5월 27일, 투비소프트 (079970),1:10
2022년 5월 26일, 마이크로디지탈 (305090),2:01
2022년 5월 25일, 태웅로직스 (124560),2:01
2022년 5월 12일, 소니드 (060230),1:05
2022년 5월 11일, 신도기연 (290520),2:01
2022년 5월 6일, 브레인즈컴퍼니 (099390),2:01
2022년 5월 4일, 세종텔레콤 (036630),1:02
2022년 5월 2일, 초록뱀미디어 (047820),1:10
, 토박스코리아 (215480),1:05
2022년 4월 29일, 그래디언트 (035080),1:05
, 이아이디 (093230),1:10
2022년 4월 26일, 와이엠텍 (273640),2:01
2022년 4월 19일, 라온테크 (232680),2.5:1
2022년 4월 18일, 맥스트 (377030),2:01
2022년 4월 15일, 젬 (248020),10:01
, 중앙디앤엠 (051980),1:03
2022년 4월 14일, DI동일 (001530),10:01
, 다이나믹디자인 (145210),1:30
, 덕산하이메탈 (077360),2:01
, 바이온 (032980),1:02
2022년 4월 13일, 서진시스템 (178320),2:01
2022년 4월 12일, 광무 (029480),1:05
, 이노진 (344860),5:01
2022년 4월 11일, 신영와코루 (005800),10:01
2022년 4월 8일, DL이앤씨 (375500),2:01
, DL이앤씨우 (37550K),2:01
, F&F (383220),5:01
, 모트렉스 (118990),1:05
2022년 4월 7일, 트루윈 (105550),2:01
